Tipo_Registro;Nr_Contrato;Dt_Vencimento;Tipo_Parcela;Nr_Parcela;Vl_Original;Vl_Saldo;Vl_Tarifa;Cliente;Dt_Inclusao;Dt_Devolucao;Dt_Inibicao;Motivo;Dt_Notificacao;Marcar_Dt_Lote;Dt_Lote;Documento;
7;000061636-2;10/09/2017;0;5;1.699,52;1.699,52;;3215;;13/12/2017;;61;;;;;
7;000061636-2;09/10/2017;0;5;1.699,52;1.699,52;;3215;;13/12/2017;;61;;;;;
7;000062247-2;30/10/2017;0;1;13.671,30;13.671,30;;3216;;13/12/2017;;61;;;;;
7;000063340-2;19/10/2017;0;4;614,99;614,99;;3217;;13/12/2017;;61;;;;;
7;000064247-2;05/10/2017;0;3;3.131,40;3.131,40;;3215;;13/12/2017;;61;;;;;
7;000064362-2;02/10/2017;0;1;2.202,50;2.202,50;;3215;;13/12/2017;;61;;;;;
7;000064372-2;10/10/2017;0;5;960,37;960,37;;3215;;13/12/2017;;61;;;;;
7;000064390-2;10/10/2017;0;3;34.000,68;34.000,68;;3216;;13/12/2017;;61;;;;;
7;000064518-2;02/10/2017;0;1;2.202,50;2.202,50;;3215;;13/12/2017;;61;;;;;
7;000064539-2;15/10/2017;0;3;1.454,40;1.454,40;;3215;;13/12/2017;;61;;;;;
7;000064549-2;15/10/2017;0;3;2.833,38;2.833,38;;3215;;13/12/2017;;61;;;;;
7;000064595-2;16/10/2017;0;3;2.182,26;2.182,26;;3216;;13/12/2017;;61;;;;;
7;000064646-2;16/10/2017;0;4;283,47;283,47;;3215;;13/12/2017;;61;;;;;
7;000064673-2;17/10/2017;0;4;245,84;245,84;;3215;;13/12/2017;;61;;;;;
7;000064682-2;17/10/2017;0;3;1.933,32;1.933,32;;3216;;13/12/2017;;61;;;;;
7;000064684-2;17/10/2017;0;4;547,53;547,53;;3215;;13/12/2017;;61;;;;;
7;000064790-2;19/10/2017;0;3;22.260,44;22.260,44;;3218;;13/12/2017;;61;;;;;
7;000064909-2;23/10/2017;0;3;1.344,10;1.344,10;;3217;;13/12/2017;;61;;;;;
7;000064918-2;23/10/2017;0;4;236,75;236,75;;3218;;13/12/2017;;61;;;;;
7;000064993-2;25/10/2017;0;3;1.091,68;1.091,68;;3217;;13/12/2017;;61;;;;;
7;000065008-2;25/10/2017;0;3;28.697,25;28.697,25;;3218;;13/12/2017;;61;;;;;
7;000065012-2;25/10/2017;0;4;1.200,00;1.200,00;;3215;;13/12/2017;;61;;;;;
7;000065144-2;14/10/2017;0;3;6.598,64;6.598,64;;3216;;13/12/2017;;61;;;;;
7;000065251-2;02/10/2017;0;1;1.990,00;1.990,00;;3215;;13/12/2017;;61;;;;;
7;000065274-2;02/10/2017;0;2;1.038,31;1.038,31;;3215;;13/12/2017;;61;;;;;
7;000065293-2;03/10/2017;0;3;247,25;247,25;;3216;;13/12/2017;;61;;;;;
7;000065293-2;02/11/2017;0;4;247,25;247,25;;3216;;13/12/2017;;61;;;;;
7;000065304-2;03/10/2017;0;1;2.250,00;2.250,00;;3215;;13/12/2017;;61;;;;;
7;000065352-2;06/10/2017;0;2;382,17;382,17;;3215;;13/12/2017;;61;;;;;
7;000065352-2;05/11/2017;0;3;382,18;382,18;;3215;;13/12/2017;;61;;;;;
7;000065392-2;07/10/2017;0;2;577,40;577,40;;3216;;13/12/2017;;61;;;;;
7;000065499-2;08/11/2017;0;3;768,42;768,42;;3215;;13/12/2017;;61;;;;;
7;000065517-2;10/09/2017;0;2;893,60;893,60;;3215;;13/12/2017;;61;;;;;
7;000065517-2;09/10/2017;0;2;893,60;893,60;;3215;;13/12/2017;;61;;;;;
7;000065539-2;10/10/2017;0;2;455,58;455,58;;3215;;13/12/2017;;61;;;;;
7;000065556-2;10/10/2017;0;2;616,00;616,00;;3215;;13/12/2017;;61;;;;;
7;000065569-2;10/10/2017;0;2;1.987,50;1.987,50;;3215;;13/12/2017;;61;;;;;
7;000065572-2;10/10/2017;0;1;116.000,00;116.000,00;;3218;;13/12/2017;;61;;;;;
7;000065578-2;10/10/2017;0;1;2.250,00;2.250,00;;3215;;13/12/2017;;61;;;;;
7;000065678-2;14/10/2017;0;2;3.359,55;3.359,55;;3215;;13/12/2017;;61;;;;;
7;000065706-2;15/10/2017;0;3;3.400,06;3.400,06;;3217;;13/12/2017;;61;;;;;
7;000065782-2;16/10/2017;0;3;704,25;704,25;;3215;;13/12/2017;;61;;;;;
7;000065812-2;16/10/2017;0;3;785,22;785,22;;3215;;13/12/2017;;61;;;;;
7;000065823-2;16/10/2017;0;2;20.066,47;20.066,47;;3218;;13/12/2017;;61;;;;;
7;000065833-2;17/10/2017;0;1;1.800,00;1.800,00;;3215;;13/12/2017;;61;;;;;
7;000065877-2;17/10/2017;0;2;2.166,65;2.166,65;;3215;;13/12/2017;;61;;;;;
7;000065897-2;17/10/2017;0;2;19.979,80;19.979,80;;3218;;13/12/2017;;61;;;;;
7;000065902-2;02/10/2017;0;1;53.935,06;53.935,06;;3216;;13/12/2017;;61;;;;;
7;000065902-2;27/10/2017;0;2;53.935,06;53.935,06;;3216;;13/12/2017;;61;;;;;
7;000065933-2;20/10/2017;0;2;1.050,37;1.050,37;;3215;;13/12/2017;;61;;;;;
7;000065999-2;21/10/2017;0;3;246,00;246,00;;3215;;13/12/2017;;61;;;;;
7;000066090-2;04/10/2017;0;2;1.163,27;1.163,27;;3215;;13/12/2017;;61;;;;;
7;000066121-2;06/11/2017;0;3;1.726,63;1.726,63;;3217;;13/12/2017;;61;;;;;
7;000066172-2;08/10/2017;0;1;2.981,07;2.981,07;;3215;;13/12/2017;;61;;;;;
7;000066189-2;24/10/2017;0;3;782,67;782,67;;3216;;13/12/2017;;61;;;;;
7;000066211-2;24/10/2017;0;2;819,99;819,99;;3215;;13/12/2017;;61;;;;;
7;000066257-2;24/10/2017;0;2;351,18;351,18;;3215;;13/12/2017;;61;;;;;
7;000066270-2;09/10/2017;0;1;54.241,91;54.241,91;;3216;;13/12/2017;;61;;;;;
7;000066369-2;28/10/2017;0;2;1.663,98;1.663,98;;3215;;13/12/2017;;61;;;;;
7;000066374-2;03/10/2017;0;2;500,03;500,03;;3215;;13/12/2017;;61;;;;;
7;000066374-2;10/10/2017;0;3;500,04;500,04;;3215;;13/12/2017;;61;;;;;
7;000066425-2;28/10/2017;0;1;2.490,01;2.490,01;;3216;;13/12/2017;;61;;;;;
7;000066499-2;29/10/2017;0;2;1.174,70;1.174,70;;3215;;13/12/2017;;61;;;;;
7;000066524-2;30/10/2017;0;1;152.385,00;152.385,00;;3218;;13/12/2017;;61;;;;;
7;000066526-2;30/10/2017;0;1;142.212,00;142.212,00;;3218;;13/12/2017;;61;;;;;
7;000066536-2;30/10/2017;0;2;1.472,00;1.472,00;;3215;;13/12/2017;;61;;;;;
7;000066544-2;30/10/2017;0;2;1.334,32;1.334,32;;3215;;13/12/2017;;61;;;;;
7;000066557-2;30/10/2017;0;2;2.212,64;2.212,64;;3215;;13/12/2017;;61;;;;;
7;000066583-2;30/10/2017;0;2;2.719,97;2.719,97;;3215;;13/12/2017;;61;;;;;
7;000066584-2;30/10/2017;0;1;134.250,00;134.250,00;;3218;;13/12/2017;;61;;;;;
7;000066598-2;05/10/2017;0;2;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;12/10/2017;0;3;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;19/10/2017;0;4;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066598-2;26/10/2017;0;5;1.468,00;1.468,00;;3215;;13/12/2017;;61;;;;;
7;000066606-2;30/10/2017;0;1;134.250,00;134.250,00;;3218;;13/12/2017;;61;;;;;
7;000066621-2;10/05/2017;0;1;7.909,50;7.909,50;;3216;;13/12/2017;;61;;;;;
7;000066621-2;05/10/2017;0;1;7.909,50;7.909,50;;3216;;13/12/2017;;61;;;;;
7;000066628-2;05/10/2017;0;2;3.318,15;3.318,15;;3215;;13/12/2017;;61;;;;;
7;000066628-2;12/10/2017;0;3;3.318,25;3.318,25;;3215;;13/12/2017;;61;;;;;
7;000066629-2;05/10/2017;0;2;372,22;372,22;;3215;;13/12/2017;;61;;;;;
7;000066629-2;12/10/2017;0;3;372,23;372,23;;3215;;13/12/2017;;61;;;;;
